Time,fms,EDA,individual,simulation
04-20-34,1,1.807,2,sea
04-20-35,1,1.803,2,sea
04-20-36,1,1.802,2,sea
04-20-37,1,1.807,2,sea
04-20-38,1,1.807,2,sea
04-20-39,1,1.805,2,sea
04-20-40,1,1.796,2,sea
04-20-41,1,1.793,2,sea
04-20-42,1,1.790,2,sea
04-20-43,1,1.787,2,sea
04-20-44,1,1.782,2,sea
04-20-45,1,1.781,2,sea
04-20-46,1,1.777,2,sea
04-20-47,1,1.774,2,sea
04-20-48,1,1.775,2,sea
04-20-49,1,1.770,2,sea
04-20-50,1,1.770,2,sea
04-20-51,1,1.767,2,sea
04-20-52,1,1.765,2,sea
04-20-53,1,1.762,2,sea
04-20-54,1,1.823,2,sea
04-20-55,1,1.928,2,sea
04-20-56,1,1.955,2,sea
04-20-57,1,1.934,2,sea
04-20-58,1,1.911,2,sea
04-20-59,1,1.895,2,sea
04-21-00,1,1.893,2,sea
04-21-01,1,1.892,2,sea
04-21-02,1,1.883,2,sea
04-21-03,1,1.877,2,sea
