Time,fms,EDA,individual,simulation,CSS
04-21-18,2,0.464,4,roller,High
04-21-19,2,0.464,4,roller,High
04-21-20,2,0.463,4,roller,High
04-21-21,2,0.464,4,roller,High
04-21-22,2,0.458,4,roller,High
04-21-23,2,0.459,4,roller,High
04-21-24,2,0.454,4,roller,High
04-21-25,2,0.454,4,roller,High
04-21-26,2,0.45,4,roller,High
04-21-27,2,0.447,4,roller,High
04-21-28,2,0.449,4,roller,High
04-21-29,2,0.445,4,roller,High
04-21-30,2,0.462,4,roller,High
04-21-31,2,0.466,4,roller,High
04-21-32,2,0.466,4,roller,High
04-21-33,2,0.464,4,roller,High
04-21-34,2,0.459,4,roller,High
04-21-35,2,0.469,4,roller,High
04-21-36,2,0.476,4,roller,High
04-21-37,2,0.48,4,roller,High
04-21-38,2,0.471,4,roller,High
04-21-39,2,0.471,4,roller,High
04-21-40,2,0.474,4,roller,High
04-21-41,2,0.467,4,roller,High
04-21-42,2,0.472,4,roller,High
04-21-43,2,0.47,4,roller,High
04-21-44,2,0.468,4,roller,High
04-21-45,2,0.469,4,roller,High
04-21-46,2,0.479,4,roller,High
04-21-47,2,0.497,4,roller,High
